id;tournament;stage;session_no;game_no;date;score_or_attendance;place_or_result;comment;extra;label
766;Business Cats;training;1;1;;0;2;;;1 Тренировочная
766;Business Cats;training;2;1;;0;1;;;2 Тренировочная
766;Business Cats;training;2;2;;0;1;;;2 Тренировочная
766;Business Cats;rating;1;1;;0;1;;;1 Рейтинговая
766;Business Cats;rating;1;2;;0;1;;;1 Рейтинговая
766;Business Cats;rating;2;1;;0;;;;2 Рейтинговая
766;Business Cats;rating;2;2;;0;;;;2 Рейтинговая
766;Business Cats;rating;3;1;;0;1;;;3 Рейтинговая
766;Business Cats;rating;3;2;;0;1;;;3 Рейтинговая
766;Пейнтбол;paintball;1;1;;0;Победа;;;Тренировочный бой
766;Пейнтбол;paintball;2;1;;0;Победа;;;1 Групповой бой
766;Пейнтбол;paintball;3;1;;0;Победа;;;2 Групповой бой
766;Пейнтбол;paintball;4;1;;0;Победа;;;3 Групповой бой
766;Пейнтбол;paintball;5;1;;0;25 мин;;;1 сценарный бой
766;Пейнтбол;paintball;6;1;;0;38 мин;;;2 сценарный бой
766;Пейнтбол;paintball;7;1;;0;1/16 финала;;;Плей-Офф
766;Civilization: Solo;week;1;1;;0;;;;
766;Civilization: Solo;week;2;1;;0;;;;
766;Civilization: Solo;week;3;1;;0;;;;
766;Civilization: Solo;week;4;1;;0;;;;
766;Civilization: Solo;week;5;1;;0;;;;
766;Civilization: Solo;week;6;1;;0;;;;
766;Civilization: Solo;week;7;1;;0;;;;
766;Civilization: Solo;week;8;1;;0;;;;
766;Civilization: Solo;week;9;1;;0;;;;
766;Civilization: DUEL;week;1;1;;0;;;;1706
766;Civilization: DUEL;week;2;1;;0;;;;1706
766;Civilization: DUEL;week;3;1;;0;;;;1706
766;Civilization: DUEL;week;4;1;;0;;;;1706
766;Civilization: DUEL;week;5;1;;0;;;;1706
766;Civilization: DUEL;week;6;1;;0;;;;1706
766;Civilization: DUEL;week;7;1;;0;;;;1706
766;Life is Feudal;week;1;1;;0;;;строитель;Сержант
766;Life is Feudal;week;2;1;;0;;;строитель;Сержант
766;Life is Feudal;week;3;1;;0;;;строитель;Сержант
766;Life is Feudal;week;4;1;;-1;;;строитель;Сержант
766;Life is Feudal;week;5;1;;0;;;строитель;Сержант
766;Life is Feudal;week;6;1;;0;;;строитель;Сержант
766;Life is Feudal;week;7;1;;0;;;строитель;Сержант
766;Life is Feudal;week;8;1;;0;;;строитель;Сержант
766;Life is Feudal;week;9;1;;0;;;строитель;Сержант
766;Life is Feudal;week;10;1;;-1;;;строитель;Сержант
766;Bandy;bandy;1;1;;-1;;;;1 игра
766;Bandy;bandy;2;1;;-1;;;;2 игра
654;Business Cats;training;1;1;;#Н/Д;#Н/Д;;;1 Тренировочная
654;Business Cats;training;2;1;;#Н/Д;#Н/Д;;;2 Тренировочная
654;Business Cats;training;2;2;;#Н/Д;#Н/Д;;;2 Тренировочная
654;Business Cats;rating;1;1;;#Н/Д;#Н/Д;;;1 Рейтинговая
654;Business Cats;rating;1;2;;#Н/Д;#Н/Д;;;1 Рейтинговая
654;Business Cats;rating;2;1;;#Н/Д;;;;2 Рейтинговая
654;Business Cats;rating;2;2;;#Н/Д;;;;2 Рейтинговая
654;Business Cats;rating;3;1;;#Н/Д;#Н/Д;;;3 Рейтинговая
654;Business Cats;rating;3;2;;#Н/Д;#Н/Д;;;3 Рейтинговая
654;Пейнтбол;paintball;1;1;;0;Проигрыш;;;Тренировочный бой
654;Пейнтбол;paintball;2;1;;#Н/Д;#Н/Д;;;1 Групповой бой
654;Пейнтбол;paintball;3;1;;#Н/Д;#Н/Д;;;2 Групповой бой
654;Пейнтбол;paintball;4;1;;#Н/Д;#Н/Д;;;3 Групповой бой
654;Пейнтбол;paintball;5;1;;#Н/Д;#Н/Д;;;1 сценарный бой
654;Пейнтбол;paintball;6;1;;#Н/Д;#Н/Д;;;2 сценарный бой
654;Пейнтбол;paintball;7;1;;-1;Выбыл с плей-офф;;;Плей-Офф
654;Civilization: Solo;week;1;1;;-1;;;;
654;Civilization: Solo;week;2;1;;-1;;;;
654;Civilization: Solo;week;3;1;;-1;;;;
654;Civilization: Solo;week;4;1;;-1;;;;
654;Civilization: Solo;week;5;1;;-1;;;;
654;Civilization: Solo;week;6;1;;0;;;;
654;Civilization: Solo;week;7;1;;0;;;;
654;Civilization: Solo;week;8;1;;0;;;;
654;Civilization: Solo;week;9;1;;0;;;;
1581;Business Cats;training;1;1;;-1;#Н/Д;;;1 Тренировочная
1581;Business Cats;training;2;1;;-1;#Н/Д;;;2 Тренировочная
1581;Business Cats;training;2;2;;-1;#Н/Д;;;2 Тренировочная
1581;Business Cats;rating;1;1;;-1;#Н/Д;;;1 Рейтинговая
1581;Business Cats;rating;1;2;;-1;#Н/Д;;;1 Рейтинговая
1581;Business Cats;rating;2;1;;-1;;;;2 Рейтинговая
1581;Business Cats;rating;2;2;;-1;;;;2 Рейтинговая
1581;Business Cats;rating;3;1;;-1;#Н/Д;;;3 Рейтинговая
1581;Business Cats;rating;3;2;;0;#Н/Д;;;3 Рейтинговая
1581;Пейнтбол;paintball;1;1;;-1;Проигрыш;;;Тренировочный бой
1581;Пейнтбол;paintball;2;1;;-1;Проигрыш;;;1 Групповой бой
1581;Пейнтбол;paintball;3;1;;-1;Проигрыш;;;2 Групповой бой
1581;Пейнтбол;paintball;4;1;;-1;Победа;;;3 Групповой бой
1581;Пейнтбол;paintball;5;1;;-1;31 мин;;;1 сценарный бой
1581;Пейнтбол;paintball;6;1;;-1;62 мин;;;2 сценарный бой
1581;Пейнтбол;paintball;7;1;;-1;#Н/Д;;;Плей-Офф
1581;Civilization: Solo;week;1;1;;-1;;;;
1581;Civilization: Solo;week;2;1;;-1;;;;
1581;Civilization: Solo;week;3;1;;#Н/Д;;;;
1581;Civilization: Solo;week;4;1;;#Н/Д;;;;
911;Business Cats;training;1;1;;0;4;;;1 Тренировочная
911;Business Cats;training;2;1;;#Н/Д;15;;;2 Тренировочная
911;Business Cats;training;2;2;;#Н/Д;15;;;2 Тренировочная
911;Business Cats;rating;1;1;;0;2;;;1 Рейтинговая
911;Business Cats;rating;1;2;;0;2;;;1 Рейтинговая
911;Business Cats;rating;2;1;;0;13;;;2 Рейтинговая
911;Business Cats;rating;2;2;;0;13;;;2 Рейтинговая
911;Business Cats;rating;3;1;;0;9;;;3 Рейтинговая
911;Business Cats;rating;3;2;;0;9;;;3 Рейтинговая
911;Пейнтбол;paintball;1;1;;0;Проигрыш;;;Тренировочный бой
911;Пейнтбол;paintball;2;1;;0;Победа;;;1 Групповой бой
911;Пейнтбол;paintball;3;1;;0;Проигрыш;;;2 Групповой бой
911;Пейнтбол;paintball;4;1;;-1;Победа;;;3 Групповой бой
911;Пейнтбол;paintball;5;1;;0;37 мин;;;1 сценарный бой
911;Пейнтбол;paintball;6;1;;0;53 мин + 8 мин штраф;;;2 сценарный бой
911;Пейнтбол;paintball;7;1;;0;Выбыл с плей-офф;;;Плей-Офф
911;Civilization: Solo;week;1;1;;-1;;;;
911;Civilization: Solo;week;2;1;;-1;;;;
911;Civilization: Solo;week;3;1;;-1;;;;
911;Civilization: Solo;week;4;1;;-1;;;;
911;Civilization: Solo;week;5;1;;-1;;;;
911;Civilization: Solo;week;6;1;;0;;;;
911;Civilization: Solo;week;7;1;;0;;;;
911;Civilization: Solo;week;8;1;;0;;;;
911;Civilization: Solo;week;9;1;;0;;;;
911;Civilization: DUEL;week;2;1;;-1;;;;Не защитился
911;Civilization: DUEL;week;3;1;;-1;;;;Не защитился
911;Civilization: DUEL;week;4;1;;-1;;;;Не защитился
911;Civilization: DUEL;week;5;1;;-1;;;;Не защитился
2862;Business Cats;training;1;1;;0;24;;;1 Тренировочная
2862;Business Cats;training;2;1;;-1;12;;;2 Тренировочная
2862;Business Cats;training;2;2;;-1;12;;;2 Тренировочная
2862;Business Cats;rating;1;1;;0;2;;;1 Рейтинговая
2862;Business Cats;rating;1;2;;0;2;;;1 Рейтинговая
2862;Business Cats;rating;2;1;;-1;;;;2 Рейтинговая
2862;Business Cats;rating;3;1;;-1;7;;;3 Рейтинговая
2862;Business Cats;rating;3;2;;-1;7;;;3 Рейтинговая
2862;Пейнтбол;paintball;1;1;;#Н/Д;#Н/Д;;;Тренировочный бой
2862;Пейнтбол;paintball;2;1;;#Н/Д;#Н/Д;;;1 Групповой бой
2862;Пейнтбол;paintball;3;1;;#Н/Д;#Н/Д;;;2 Групповой бой
2862;Пейнтбол;paintball;4;1;;#Н/Д;#Н/Д;;;3 Групповой бой
2862;Пейнтбол;paintball;5;1;;#Н/Д;#Н/Д;;;1 сценарный бой
2862;Пейнтбол;paintball;6;1;;#Н/Д;#Н/Д;;;2 сценарный бой
2862;Пейнтбол;paintball;7;1;;#Н/Д;#Н/Д;;;Плей-Офф
2862;Civilization: Solo;week;1;1;;-1;;;;
2862;Civilization: Solo;week;2;1;;-1;;;;
2862;Civilization: Solo;week;3;1;;#Н/Д;;;;
2862;Civilization: Solo;week;4;1;;#Н/Д;;;;
891;Business Cats;training;1;1;;0;1;;;1 Тренировочная
891;Business Cats;training;2;1;;0;2;;;2 Тренировочная
891;Business Cats;training;2;2;;0;2;;;2 Тренировочная
891;Business Cats;rating;1;1;;0;1;;;1 Рейтинговая
891;Business Cats;rating;1;2;;0;1;;;1 Рейтинговая
891;Business Cats;rating;2;1;;0;1;;;2 Рейтинговая
891;Business Cats;rating;2;2;;0;1;;;2 Рейтинговая
891;Business Cats;rating;3;1;;0;10;;;3 Рейтинговая
891;Business Cats;rating;3;2;;0;10;;;3 Рейтинговая
891;Пейнтбол;paintball;1;1;;0;Проигрыш;;;Тренировочный бой
891;Пейнтбол;paintball;2;1;;0;Победа;;;1 Групповой бой
891;Пейнтбол;paintball;3;1;;0;Проигрыш;;;2 Групповой бой
891;Пейнтбол;paintball;4;1;;0;Победа;;;3 Групповой бой
891;Пейнтбол;paintball;5;1;;0;37 мин;;;1 сценарный бой
891;Пейнтбол;paintball;6;1;;0;53 мин + 8 мин штраф;;;2 сценарный бой
891;Пейнтбол;paintball;7;1;;0;Выбыл с плей-офф;;;Плей-Офф
891;Civilization: Solo;week;1;1;;0;;;;
891;Civilization: Solo;week;2;1;;0;;;;
891;Civilization: Solo;week;3;1;;0;;;;
891;Civilization: Solo;week;4;1;;0;;;;
891;Civilization: Solo;week;5;1;;0;;;;
891;Civilization: Solo;week;6;1;;0;;;;
891;Civilization: Solo;week;7;1;;0;;;;
891;Civilization: Solo;week;8;1;;0;;;;
891;Civilization: Solo;week;9;1;;0;;;;
891;Civilization: DUEL;week;1;1;;0;;;;Не защитился
891;Civilization: DUEL;week;2;1;;0;;;;Не защитился
891;Civilization: DUEL;week;3;1;;С;;;;Не защитился
891;Civilization: DUEL;week;4;1;;-1;;;;Не защитился
891;Civilization: DUEL;week;5;1;;-1;;;;Не защитился
891;Civilization: DUEL;week;6;1;;0;;;;Не защитился
891;Civilization: DUEL;week;7;1;;0;;;;Не защитился
891;Civilization: DUEL;week;8;1;;0;;;;Не защитился
891;Life is Feudal;week;1;1;;0;;;плотник;Рядовой
891;Life is Feudal;week;2;1;;0;;;плотник;Рядовой
891;Life is Feudal;week;3;1;;0;;;плотник;Рядовой
891;Life is Feudal;week;4;1;;0;;;плотник;Рядовой
891;Life is Feudal;week;5;1;;0;;;плотник;Рядовой
891;Life is Feudal;week;6;1;;0;;;плотник;Рядовой
891;Life is Feudal;week;7;1;;0;;;плотник;Рядовой
